PP 848 BK OPRAWA HALOGENOWA HERMETYCZNA IP65,"https://www.pp-design.pl/image,offer,933,2849,1000,750,0.jpg,https://www.pp-design.pl/image,offer,933,2850,1000,750,0.jpg,https://www.pp-design.pl/image,offer,933,2851,1000,750,0.jpg,https://www.pp-design.pl/image,offer,933,2852,1000,750,0.jpg,https://www.pp-design.pl/image,offer,933,2853,1000,750,0.jpg",65.00 PLN,Oprawy halogenowe,"MATERIAŁ:Aluminium,szkło,KOLOR:Biały,przezroczysty,WYMIARY:85x85mm,OTWÓR MONTAŻOWY:śr.70mm,GŁĘBOKOŚĆ MONTAŻOWA:H90mm,NAPIĘCIE ZASILANIA:230V50Hz,12V50Hz,,TRZONEK:GU10230V(opcjonalnie),GU5,312V(opcjonalnie),ŻARÓWKA:LED230Vlub12V(brakwkomplecie),STOPIEŃ SZCZELNOŚCI:IP65"
PP 621/1 WH IP44 OPRAWA WPUSZCZANA ES111 AR111 QR111 HERMETYCZNA,"https://www.pp-design.pl/image,offer,929,2841,1000,750,0.jpg,https://www.pp-design.pl/image,offer,929,2842,1000,750,0.jpg,https://www.pp-design.pl/image,offer,929,2843,1000,750,0.jpg",140.00 PLN,Oprawy halogenowe,"MATERIAŁ:Aluminium,tworzywo,KOLOR:Biały,przezroczysty,WYMIARY:180x180mm,OTWÓR MONTAŻOWY:śr.145mm,NAPIĘCIE ZASILANIA:230V50Hz,12V50Hz,TRZONEK:GU10230V(opcjonalnie),G5312V(przewodywkomplecie),ŻARÓWKA:1xES111LED230V,AR111/QR111LED12V(brakwkomplecie),STOPIEŃ SZCZELNOŚCI:IP44"
PP 620 BK IP44 OPRAWA HALOGENOWA ES111 AR111 QR111,"https://www.pp-design.pl/image,offer,928,2844,1000,750,0.jpg,https://www.pp-design.pl/image,offer,928,2845,1000,750,0.jpg,https://www.pp-design.pl/image,offer,928,2846,1000,750,0.jpg",140.00 PLN,Oprawy halogenowe,"MATERIAŁ:Aluminium,tworzywo,KOLOR:Czarny,przezroczysty,WYMIARY:śr.180mm,OTWÓR MONTAŻOWY:śr.145mm,NAPIĘCIE ZASILANIA:230V50Hz,12V50Hz,TRZONEK:GU10230V(opcjonalnie),G5312V(przewodywkomplecie),ŻARÓWKA:1xES111LED230V,AR111/QR111LED12V(brakwkomplecie),STOPIEŃ SZCZELNOŚCI:IP44"
PP 847 BK OPRAWA HALOGENOWA HERMETYCZNA IP65,"https://www.pp-design.pl/image,offer,925,3045,1000,750,0.jpg,https://www.pp-design.pl/image,offer,925,3046,1000,750,0.jpg,https://www.pp-design.pl/image,offer,925,3047,1000,750,0.jpg,https://www.pp-design.pl/image,offer,925,3048,1000,750,0.jpg,https://www.pp-design.pl/image,offer,925,3049,1000,750,0.jpg",65.00 PLN,Oprawy halogenowe,"MATERIAŁ:Aluminium,szkło,KOLOR:Czarny,przezroczysty,WYMIARY:śr.85mm,OTWÓR MONTAŻOWY:śr.70mm,GŁĘBOKOŚĆ MONTAŻOWA:H90mm,NAPIĘCIE ZASILANIA:230V50Hz,12V50Hz,,TRZONEK:GU10230V(opcjonalnie),GU5,312V(opcjonalnie),ŻARÓWKA:Halogen230Vlub12V1x50W,LED230Vlub12V(brakwkomplecie),STOPIEŃ SZCZELNOŚCI:IP65"
PP 621/1BK IP44 OPRAWA WPUSZCZANA ES111 AR111 QR111 HERMETYCZNA,"https://www.pp-design.pl/image,offer,919,2778,1000,750,0.jpg,https://www.pp-design.pl/image,offer,919,2776,1000,750,0.jpg,https://www.pp-design.pl/image,offer,919,2777,1000,750,0.jpg",140.00 PLN,Oprawy halogenowe,"MATERIAŁ:Aluminium,tworzywo,KOLOR:Czarny,przezroczysty,WYMIARY:180x180mm,OTWÓR MONTAŻOWY:śr.145mm,NAPIĘCIE ZASILANIA:230V50Hz,12V50Hz,TRZONEK:GU10230V(opcjonalnie),G5312V(przewodywkomplecie),ŻARÓWKA:1xES111LED230V,AR111/QR111LED12V(brakwkomplecie),STOPIEŃ SZCZELNOŚCI:IP44"
PP 620 WH IP44 OPRAWA WPUSZCZANA ES111 AR111 QR111 HERMETYCZNA,"https://www.pp-design.pl/image,offer,918,2779,1000,750,0.jpg,https://www.pp-design.pl/image,offer,918,2780,1000,750,0.jpg,https://www.pp-design.pl/image,offer,918,2781,1000,750,0.jpg",140.00 PLN,Oprawy halogenowe,"MATERIAŁ:Aluminium,tworzywo,KOLOR:Biały,przezroczysty,WYMIARY:śr.180mm,OTWÓR MONTAŻOWY:śr.145mm,NAPIĘCIE ZASILANIA:230V50Hz,12V50Hz,TRZONEK:GU10230V(opcjonalnie),G5312V(przewodywkomplecie),ŻARÓWKA:1xES111LED230V,AR111/QR111LED12V(brakwkomplecie),STOPIEŃ SZCZELNOŚCI:IP44"
PP 920 BK OPRAWA WPUSZCZANA QR70,"https://www.pp-design.pl/image,offer,904,2661,1000,750,0.jpg",105.00 PLN,Oprawy halogenowe,"MATERIAŁ:Aluminium,KOLOR:Czarny,WYMIARY:śr.128mm,GŁĘBOKOŚĆ MONTAŻOWA:H70mm,NAPIĘCIE ZASILANIA:230V50Hz,12V50Hz,TRZONEK:GU10(brakwkomplecie),ŻARÓWKA:1xQR70LED230V(brakwkomplecie),STOPIEŃ SZCZELNOŚCI:IP20"
PP 290 BK OPRAWA WPUSZCZANA HERMETYCZNA IP44,"https://www.pp-design.pl/image,offer,901,2656,1000,750,0.jpg",69.00 PLN,Oprawy halogenowe,"MATERIAŁ:Aluminium,szkło,KOLOR:Czarny,piaskowany,WYMIARY:śr.85mm,OTWÓR MONTAŻOWY:śr.60mm,GŁĘBOKOŚĆ MONTAŻOWA:H70mm,NAPIĘCIE ZASILANIA:230V50Hz,12V50Hz,,TRZONEK:GU10230V(opcjonalnie),GU5,312V(gniazdowkomplecie),ŻARÓWKA:LED230Vlub12V(brakwkomplecie),STOPIEŃ SZCZELNOŚCI:IP44"
PP 101 BK OPRAWA HALOGENOWA PAR16 MR16 LED,"https://www.pp-design.pl/image,offer,835,2200,1000,750,0.jpg",48.00 PLN,Oprawy halogenowe,"MATERIAŁ:Aluminium,KOLOR:Czarny,WYMIARY:śr.85mm,OTWÓR MONTAŻOWY:śr.70mm,GŁĘBOKOŚĆ MONTAŻOWA:H80mm,NAPIĘCIE ZASILANIA:230V50Hz,12V50Hz,TRZONEK:GU10230V(opcjonalnie),GU5,312V(gniazdowkomplecie),ŹRÓDŁO ŚWIATŁA:Halogen230Vlub12V1x50W,LED230Vlub12V(brakwkomplecie),STOPIEŃ SZCZELNOŚCI:IP20"
PP 812 WH OPRAWA HALOGENOWA PAR16 MR16,"https://www.pp-design.pl/image,offer,834,2194,1000,750,0.jpg",48.00 PLN,Oprawy halogenowe,"MATERIAŁ:Aluminium,KOLOR:Biały,WYMIARY:śr.92mm,OTWÓR MONTAŻOWY:śr.78mm,GŁĘBOKOŚĆ MONTAŻOWA:70mm,NAPIĘCIE ZASILANIA:230V50Hz,12V50Hz,TRZONEK:GU10(opcjonalnie),GU5,3(gniazdowkomplecie),ŹRÓDŁO ŚWIATŁA:Halogen230Vlub12V1x50W,LED230Vlub12V(brakwkomplecie),STOPIEŃ SZCZELNOŚCI:IP20"
