PP 848 BK OPRAWA HALOGENOWA HERMETYCZNA IP65;https://www.pp-design.pl/image,offer,933,2849,1000,750,0.jpg|https://www.pp-design.pl/image,offer,933,2850,1000,750,0.jpg|https://www.pp-design.pl/image,offer,933,2851,1000,750,0.jpg|https://www.pp-design.pl/image,offer,933,2852,1000,750,0.jpg|https://www.pp-design.pl/image,offer,933,2853,1000,750,0.jpg;65.00 PLN;Oprawa wpuszczana ze stopniem szczelności IP65 na żarówkę typu PAR16 oraz MR16. Wykonana z aluminium lakierowanego na kolor czarny oraz przezroczystego szkła. Wysoki stopień szczelności umożliwia montaż lampy w pomieszczeniach o dużej wilgotności powietrza i ryzyku kontaktu z wodą np. w łazience lub kuchni.Dostępne wersje:okrągła lub kwadratowa, kolor biały lub czarny.W sprzedaży dostępne także dedykowane do oprawy żarówki LED;Oprawy halogenowe;MATERIAŁ:Aluminium, szkło|KOLOR:Biały, przezroczysty|WYMIARY:85x85mm|OTWÓR MONTAŻOWY:śr.70mm|GŁĘBOKOŚĆ MONTAŻOWA:H90mm|NAPIĘCIE ZASILANIA:230V 50Hz, 12V 50Hz,|TRZONEK:GU10 230V (opcjonalnie), GU5,3 12V (opcjonalnie)|ŻARÓWKA:LED 230V lub 12V (brak w komplecie)|STOPIEŃ SZCZELNOŚCI:IP65
PP 621/1 WH IP44 OPRAWA WPUSZCZANA ES111 AR111 QR111 HERMETYCZNA;https://www.pp-design.pl/image,offer,929,2841,1000,750,0.jpg|https://www.pp-design.pl/image,offer,929,2842,1000,750,0.jpg|https://www.pp-design.pl/image,offer,929,2843,1000,750,0.jpg;140.00 PLN;Oprawa wpuszczana ze stopniem szczelności IP44 na żarówki typu ES111, AR111 oraz QR111. Wykonana z aluminium lakierowanego na kolor czarny oraz z przezroczystego tworzywa. Dzięki dużemu kątowi rozproszenia światła idealna jako główne oświetlenie, np. holu, łazienki, kuchni lub salonu. Wysoki stopień szczelności sprawia, że lampę bez problemu można umieścić w łazience czy kuchni, w miejscach gdzie istnieje ryzyko zalania jej wodą.Nadaje się również do zastosowania na zewnątrz budynków. Cechuje ją estetyczne wykonanie oraz dbałość o szczegóły.Dostępne wersje: kolor biały lub czarny, wersja okrągła lub kwadratowa.W sprzedaży dostępne także dedykowane żarówki LED.;Oprawy halogenowe;MATERIAŁ:Aluminium, tworzywo|KOLOR:Biały, przezroczysty|WYMIARY:180x180mm|OTWÓR MONTAŻOWY:śr.145mm|NAPIĘCIE ZASILANIA:230V 50Hz, 12V 50Hz|TRZONEK:GU10 230V (opcjonalnie), G53 12V (przewody w komplecie)|ŻARÓWKA:1xES111 LED 230V, AR111/QR111 LED 12V (brak w komplecie)|STOPIEŃ SZCZELNOŚCI:IP44
PP 620 BK IP44 OPRAWA HALOGENOWA ES111 AR111 QR111;https://www.pp-design.pl/image,offer,928,2844,1000,750,0.jpg|https://www.pp-design.pl/image,offer,928,2845,1000,750,0.jpg|https://www.pp-design.pl/image,offer,928,2846,1000,750,0.jpg;140.00 PLN;Oprawa wpuszczana ze stopniem szczelności IP44 na żarówki typu ES111, AR111 oraz QR111. Wykonana z aluminium lakierowanego na kolor czarny oraz z przezroczystego tworzywa. Dzięki dużemu kątowi rozproszenia światła idealna jako główne oświetlenie, np. holu, łazienki, kuchni lub salonu. Wysoki stopień szczelności sprawia, że lampę bez problemu można umieścić w łazience czy kuchni, w miejscach gdzie istnieje ryzyko zalania jej wodą.Nadaje się również do zastosowania na zewnątrz budynków. Cechuje ją estetyczne wykonanie oraz dbałość o szczegóły.Dostępne wersje: kolor biały lub czarny, wersja okrągła lub kwadratowa.W sprzedaży dostępne także dedykowane żarówki LED.;Oprawy halogenowe;MATERIAŁ:Aluminium, tworzywo|KOLOR:Czarny, przezroczysty|WYMIARY:śr.180mm|OTWÓR MONTAŻOWY:śr.145mm|NAPIĘCIE ZASILANIA:230V 50Hz, 12V 50Hz|TRZONEK:GU10 230V (opcjonalnie), G53 12V (przewody w komplecie)|ŻARÓWKA:1xES111 LED 230V, AR111/QR111 LED 12V (brak w komplecie)|STOPIEŃ SZCZELNOŚCI:IP44
PP 847 BK OPRAWA HALOGENOWA HERMETYCZNA IP65;https://www.pp-design.pl/image,offer,925,3045,1000,750,0.jpg|https://www.pp-design.pl/image,offer,925,3046,1000,750,0.jpg|https://www.pp-design.pl/image,offer,925,3047,1000,750,0.jpg|https://www.pp-design.pl/image,offer,925,3048,1000,750,0.jpg|https://www.pp-design.pl/image,offer,925,3049,1000,750,0.jpg;65.00 PLN;Oprawa wpuszczana ze stopniem szczelności IP65 na żarówkę typu PAR16 oraz MR16. Wykonana z aluminium lakierowanego na kolor czarny oraz przezroczystego szkła. Wysoki stopień szczelności sprawia, że lampa może być zamontowana w pomieszczeniach o dużej wilgotności powietrza np. w łazience lub w kuchni. Dostępna wersja okrągła i kwadratowa. Kolor biały oraz czarny.W sprzedaży dostępne także dedykowane do oprawy żarówki LED.;Oprawy halogenowe;MATERIAŁ:Aluminium, szkło|KOLOR:Czarny, przezroczysty|WYMIARY:śr.85mm|OTWÓR MONTAŻOWY:śr.70mm|GŁĘBOKOŚĆ MONTAŻOWA:H90mm|NAPIĘCIE ZASILANIA:230V 50Hz, 12V 50Hz,|TRZONEK:GU10 230V (opcjonalnie), GU5,3 12V (opcjonalnie)|ŻARÓWKA:Halogen 230V lub 12V 1x50W, LED 230V lub 12V (brak w komplecie)|STOPIEŃ SZCZELNOŚCI:IP65
PP 621/1BK IP44 OPRAWA WPUSZCZANA ES111 AR111 QR111 HERMETYCZNA;https://www.pp-design.pl/image,offer,919,2778,1000,750,0.jpg|https://www.pp-design.pl/image,offer,919,2776,1000,750,0.jpg|https://www.pp-design.pl/image,offer,919,2777,1000,750,0.jpg;140.00 PLN;Oprawa wpuszczana ze stopniem szczelności IP44 na żarówki typu ES111, AR111 oraz QR111. Wykonana z aluminium lakierowanego na kolor czarny oraz z przezroczystego tworzywa. Dzięki dużemu kątowi rozproszenia światła idealna jako główne oświetlenie, np. holu, łazienki, kuchni lub salonu. Wysoki stopień szczelności sprawia, że lampę bez problemu można umieścić w łazience czy kuchni, w miejscach gdzie istnieje ryzyko zalania jej wodą.Nadaje się również do zastosowania na zewnątrz budynków. Cechuje ją estetyczne wykonanie oraz dbałość o szczegóły.Dostępne wersje: kolor biały lub czarny, wersja okrągła lub kwadratowa.W sprzedaży dostępne także dedykowane żarówki LED.;Oprawy halogenowe;MATERIAŁ:Aluminium, tworzywo|KOLOR:Czarny, przezroczysty|WYMIARY:180x180mm|OTWÓR MONTAŻOWY:śr.145mm|NAPIĘCIE ZASILANIA:230V 50Hz, 12V 50Hz|TRZONEK:GU10 230V (opcjonalnie), G53 12V (przewody w komplecie)|ŻARÓWKA:1xES111 LED 230V, AR111/QR111 LED 12V (brak w komplecie)|STOPIEŃ SZCZELNOŚCI:IP44
PP 620 WH IP44 OPRAWA WPUSZCZANA ES111 AR111 QR111 HERMETYCZNA;https://www.pp-design.pl/image,offer,918,2779,1000,750,0.jpg|https://www.pp-design.pl/image,offer,918,2780,1000,750,0.jpg|https://www.pp-design.pl/image,offer,918,2781,1000,750,0.jpg;140.00 PLN;Oprawa wpuszczana ze stopniem szczelności IP44 na żarówki typu ES111, AR111 oraz QR111. Wykonana z aluminium lakierowanego na kolor czarny oraz z przezroczystego tworzywa. Dzięki dużemu kątowi rozproszenia światła idealna jako główne oświetlenie, np. holu, łazienki, kuchni lub salonu. Wysoki stopień szczelności sprawia, że lampę bez problemu można umieścić w łazience czy kuchni, w miejscach gdzie istnieje ryzyko zalania jej wodą.Nadaje się również do zastosowania na zewnątrz budynków. Cechuje ją estetyczne wykonanie oraz dbałość o szczegóły.Dostępne wersje: kolor biały lub czarny, wersja okrągła lub kwadratowa.W sprzedaży dostępne także dedykowane żarówki LED.;Oprawy halogenowe;MATERIAŁ:Aluminium, tworzywo|KOLOR:Biały, przezroczysty|WYMIARY:śr.180mm|OTWÓR MONTAŻOWY:śr.145mm|NAPIĘCIE ZASILANIA:230V 50Hz, 12V 50Hz|TRZONEK:GU10 230V (opcjonalnie), G53 12V (przewody w komplecie)|ŻARÓWKA:1xES111 LED 230V, AR111/QR111 LED 12V (brak w komplecie)|STOPIEŃ SZCZELNOŚCI:IP44
PP 920 BK OPRAWA WPUSZCZANA QR70;https://www.pp-design.pl/image,offer,904,2661,1000,750,0.jpg;105.00 PLN;Oprawa wpuszczana na żarówkę typu QR70. Wykonana z aluminium lakierowanego na kolor czarny. Regulowana. Sprawdzi się idealnie jako punktowe oświetlenie sufitowe. Dzięki swojej subtelnej minimalistycznej formie, nada sznytu nowoczesności każdemu wnętrzu.W sprzedaży dostępne także dedykowane do oprawy żarówki LED. Atuty:Możliwość zastosowania energooszczędnego źródła światła LEDŚredni rozmiarJakość wykonania;Oprawy halogenowe;MATERIAŁ:Aluminium|KOLOR:Czarny|WYMIARY:śr.128mm|GŁĘBOKOŚĆ MONTAŻOWA:H70mm|NAPIĘCIE ZASILANIA:230V 50Hz, 12V 50Hz|TRZONEK:GU10 (brak w komplecie)|ŻARÓWKA:1xQR70 LED 230V (brak w komplecie)|STOPIEŃ SZCZELNOŚCI:IP20
PP 290 BK OPRAWA WPUSZCZANA HERMETYCZNA IP44;https://www.pp-design.pl/image,offer,901,2656,1000,750,0.jpg;69.00 PLN;Oprawa wpuszczana ze stopniem szczelności IP44 na żarówkę typu PAR16 oraz MR16. Wykonana z aluminium lakierowanego na kolor czarny oraz piaskowanego szkła.Dostępna w kolorze białym oraz czarnym.W sprzedaży dostępne także dedykowane do oprawy żarówki LED.;Oprawy halogenowe;MATERIAŁ:Aluminium, szkło|KOLOR:Czarny, piaskowany|WYMIARY:śr.85mm|OTWÓR MONTAŻOWY:śr.60mm|GŁĘBOKOŚĆ MONTAŻOWA:H70mm|NAPIĘCIE ZASILANIA:230V 50Hz, 12V 50Hz,|TRZONEK:GU10 230V (opcjonalnie), GU5,3 12V (gniazdo w komplecie)|ŻARÓWKA:LED 230V lub 12V (brak w komplecie)|STOPIEŃ SZCZELNOŚCI:IP44
PP 101 BK OPRAWA HALOGENOWA PAR16 MR16 LED;https://www.pp-design.pl/image,offer,835,2200,1000,750,0.jpg;48.00 PLN;Oprawa wpuszczana na żarówkę typu PAR16 oraz MR16. Wykonana z aluminium lakierowanego na kolor czarny.Dostępny kolor biały oraz czarny.W sprzedaży dostępne także dedykowane do oprawy żarówki. Atuty:Możliwość zastosowania energooszczędnego źródła światła LEDMożliwość regulacjiJakość wykonania;Oprawy halogenowe;MATERIAŁ:Aluminium|KOLOR:Czarny|WYMIARY:śr.85mm|OTWÓR MONTAŻOWY:śr.70mm|GŁĘBOKOŚĆ MONTAŻOWA:H80mm|NAPIĘCIE ZASILANIA:230V 50Hz, 12V 50Hz|TRZONEK:GU10 230V (opcjonalnie), GU5,3 12V (gniazdo w komplecie)|ŹRÓDŁO ŚWIATŁA:Halogen 230V lub 12V 1x50W, LED 230V lub 12V (brak w komplecie)|STOPIEŃ SZCZELNOŚCI:IP20
PP 812 WH OPRAWA HALOGENOWA PAR16 MR16;https://www.pp-design.pl/image,offer,834,2194,1000,750,0.jpg;48.00 PLN;Oprawa wpuszczana na żarówkę typu PAR16 i MR16. Wykonana z aluminium lakierowanego na kolor biały.W sprzedaży dostępne także dedykowane do oprawy żarówki LED.;Oprawy halogenowe;MATERIAŁ:Aluminium|KOLOR:Biały|WYMIARY:śr.92mm|OTWÓR MONTAŻOWY:śr.78mm|GŁĘBOKOŚĆ MONTAŻOWA:70mm|NAPIĘCIE ZASILANIA:230V 50Hz, 12V 50Hz|TRZONEK:GU10 (opcjonalnie), GU5,3 (gniazdo w komplecie)|ŹRÓDŁO ŚWIATŁA:Halogen 230V lub 12V 1x50W, LED 230V lub 12V (brak w komplecie)|STOPIEŃ SZCZELNOŚCI:IP20
